,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM78B,347.9921184,-1.959850741,0.189852137,-5.055780535,4.29E-07,1.78E-05
MIR133A1HG,6.562330846,-1.961501199,0.221113622,-4.348448497,1.37E-05,0.000433666
BRINP2,18.54612311,-1.961855623,0.299374501,-3.212884265,0.001314092,0.028528944
STUM,169.6413558,-1.964239343,0.244326994,-3.94651171,7.93E-05,0.002194341
RN7SKP248,0.825730417,-1.96697243,0.317452827,-3.046035027,0.002318808,0.046690943
GABRG3,12.70641612,-1.96761866,0.301245193,-3.212063401,0.001317853,0.02856338
FAM3D,811.1403034,-1.974778693,0.248859019,-3.916991618,8.97E-05,0.002452682
GATA3,12616.17995,-1.976639543,0.151039316,-6.46612795,1.01E-10,7.06E-09
MFAP3L,1244.868487,-1.979563047,0.137566004,-7.120676753,1.07E-12,9.83E-11
FAM215A,6.393590729,-1.979978803,0.203652584,-4.812012624,1.49E-06,5.66E-05
LINC01030,1.408558329,-1.987745465,0.318024353,-3.105879962,0.001897137,0.039361887
XKR7,8.520535766,-1.988325424,0.290351906,-3.403888189,0.000664339,0.01538806
ANKRD20A11P,39.87171194,-1.992871445,0.21660989,-4.583684719,4.57E-06,0.000160679
CCL15,124.091452,-1.994518111,0.292227093,-3.403237185,0.000665924,0.015409827
SLC5A7,109.5522362,-1.995923492,0.274240428,-3.631570663,0.000281701,0.007014925
CEACAM7,460.8852063,-1.997328046,0.324041471,-3.077779038,0.002085495,0.042786687
ZNF888,96.43684158,-2.00241108,0.127977307,-7.832725209,4.77E-15,5.79E-13
TMEM97,7584.388263,-2.003663192,0.141819408,-7.077051038,1.47E-12,1.32E-10
RAPSN,48.829983,-2.007359292,0.17962264,-5.608197798,2.04E-08,1.03E-06
TKTL1,16.12433654,-2.007488766,0.311918746,-3.229971847,0.001238024,0.027049637
ZNF626,984.7030503,-2.008668005,0.178617696,-5.64707768,1.63E-08,8.40E-07
EMX2,424.8147872,-2.009223985,0.243354906,-4.147128161,3.37E-05,0.000988937
NRXN1,37.06501709,-2.010742467,0.294847119,-3.428022192,0.000607996,0.014206993
CCSER1,405.7615472,-2.011967393,0.162184097,-6.239621573,4.39E-10,2.81E-08
MIR200B,6.912186187,-2.013322503,0.217893983,-4.650529999,3.31E-06,0.000119075
TSPAN8,348.8500749,-2.016162111,0.257776664,-3.942025216,8.08E-05,0.002228061
PADI3,6986.368687,-2.017283019,0.234254476,-4.342640692,1.41E-05,0.000442365
ADAMTS19,33.30137178,-2.020037291,0.237463626,-4.295551735,1.74E-05,0.000539469
DEFB126,24.34469112,-2.022324209,0.270466297,-3.779858048,0.000156918,0.004073211
ZPBP2,3.648451221,-2.024428838,0.28107732,-3.644651363,0.000267755,0.006695545
BNIP3P16,8.394483361,-2.024475876,0.183408055,-5.58577361,2.33E-08,1.16E-06
MIR429,27.21694561,-2.027942146,0.178197326,-5.768560988,8.00E-09,4.23E-07
PEG3,187.8912469,-2.028388299,0.206586903,-4.977993693,6.42E-07,2.59E-05
ARHGEF7-AS2,1.769498894,-2.030860264,0.307799031,-3.34913421,0.000810645,0.01828047
TMPRSS2,4587.402878,-2.034440662,0.20857417,-4.959581813,7.06E-07,2.84E-05
SNCG,17520.28425,-2.034917815,0.168695336,-6.134833609,8.52E-10,5.29E-08
FSIP2,269.9804731,-2.035074656,0.183973832,-5.626205886,1.84E-08,9.36E-07
LINC02206,1.870974945,-2.03805321,0.291740819,-3.55813497,0.000373497,0.009120134
CYP3A43,4.842459074,-2.038348742,0.225933937,-4.595806881,4.31E-06,0.000152965
SLC26A5,21.0227859,-2.044982735,0.178666489,-5.848789779,4.95E-09,2.69E-07
ABCA6,473.6710299,-2.047980371,0.1886902,-5.553973493,2.79E-08,1.38E-06
OR5M6P,2.387881581,-2.05285095,0.326124014,-3.228376035,0.001244952,0.027176142
PTTG2,6.556572664,-2.055859394,0.171592485,-6.153296251,7.59E-10,4.74E-08
UGT2B7,303.5861122,-2.058222023,0.300625002,-3.520073238,0.000431428,0.010417516
FADS6,135.4441882,-2.05963887,0.274533471,-3.859780253,0.000113489,0.00302144
MYOC,22.0018624,-2.061092989,0.283754668,-3.739473245,0.000184406,0.0046999
SCNN1B,4664.906063,-2.061246829,0.206017891,-5.151236243,2.59E-07,1.12E-05
CYP4B1,9086.113945,-2.067644149,0.219949437,-4.854043569,1.21E-06,4.67E-05
PPFIBP2,3793.352698,-2.06861082,0.116531583,-9.17013904,4.72E-20,9.90E-18
FAM174B,4151.206756,-2.069356506,0.143022918,-7.476819244,7.61E-14,7.98E-12
LINC02470,3.155923819,-2.069582006,0.343285616,-3.115720425,0.001834962,0.038304821
LINC01645,7.431564971,-2.075433674,0.312269054,-3.443932921,0.000573318,0.013462542
BNIP3P24,5.337380454,-2.086429686,0.205223851,-5.293876316,1.20E-07,5.44E-06
LCN1P1,3.257277872,-2.086440642,0.244924481,-4.435818896,9.17E-06,0.000301298
FUT9,346.2783303,-2.086959195,0.223849966,-4.855748757,1.20E-06,4.63E-05
ADH1A,10.00535592,-2.090435393,0.217837124,-5.00573718,5.56E-07,2.26E-05
IL9R,161.4427632,-2.090892242,0.173041116,-6.304237214,2.90E-10,1.89E-08
PCED1CP,0.821994177,-2.091902077,0.322048412,-3.390490492,0.000697677,0.01605127
RNF128,4416.097735,-2.097827955,0.164040489,-6.692420647,2.20E-11,1.65E-09
RHEX,534.3487981,-2.098298009,0.222988882,-4.925348736,8.42E-07,3.35E-05
P2RX2,22.4854621,-2.100707321,0.22862118,-4.814546587,1.48E-06,5.61E-05
TTC23L,66.09100905,-2.102300972,0.147394621,-7.478569849,7.51E-14,7.92E-12
MTCYBP21,3.69469122,-2.102764792,0.263073365,-4.191852695,2.77E-05,0.000826975
FBP1,4701.07055,-2.104797539,0.148561574,-7.436630565,1.03E-13,1.07E-11
TFF2,176.554982,-2.105734665,0.304710626,-3.628802447,0.000284739,0.00708318
MIR200A,11.01612576,-2.108176819,0.209684694,-5.284967636,1.26E-07,5.70E-06
CDH23,1046.385523,-2.108494553,0.158006127,-7.01551625,2.29E-12,1.98E-10
STK32A,353.8761886,-2.114783538,0.188618191,-5.910265237,3.42E-09,1.94E-07
MAN1C1,3084.281793,-2.119029188,0.18658235,-5.997508258,2.00E-09,1.18E-07
VIPR1,1232.808375,-2.120239605,0.147052812,-7.617940731,2.58E-14,2.88E-12
