,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
TRAPPC13,777.0004135,-0.074553777,0.045696351,0,1,1,Neutral
F11R,14264.45668,-0.074555129,0.094426383,0,1,1,Neutral
TPR,7139.605325,-0.074588708,0.056144154,0,1,1,Neutral
ZNF646,1196.973008,-0.074614131,0.04924782,0,1,1,Neutral
CNOT10,1618.696357,-0.074678732,0.04490724,0,1,1,Neutral
PIP5K1C,3161.897887,-0.074686348,0.052129626,0,1,1,Neutral
MSL2,1597.141739,-0.074769435,0.042966747,0,1,1,Neutral
ZER1,3061.326882,-0.074801764,0.049091012,0,1,1,Neutral
C6orf47,1867.434034,-0.074849715,0.043079912,0,1,1,Neutral
FGF12-AS1,0.225483026,-0.074870784,0.690840055,0,1,1,Neutral
ATP2A1-AS1,74.72331215,-0.074914596,0.121986901,0,1,1,Neutral
CNNM4,1356.677938,-0.074917134,0.070968908,0,1,1,Neutral
PWWP2A,715.5101789,-0.075004799,0.050584557,0,1,1,Neutral
PEMT,1007.831269,-0.075078143,0.0752287,0,1,1,Neutral
VSTM4,559.9335399,-0.075093756,0.140207751,0,1,1,Neutral
CHD9,1774.861125,-0.07514558,0.075304618,0,1,1,Neutral
SFMBT1,1046.07346,-0.075196387,0.06449934,0,1,1,Neutral
ATM,1650.096661,-0.07522294,0.074149897,0,1,1,Neutral
KIAA1191,3847.169916,-0.075333343,0.044492467,0,1,1,Neutral
OR6S1,0.264435517,-0.075360626,0.453211487,0,1,1,Neutral
ADORA2A,9.108489555,-0.075365427,0.132493853,0,1,1,Neutral
SLC37A3,1862.631028,-0.075399251,0.047749142,0,1,1,Neutral
SLC16A4,188.4200971,-0.075448281,0.160351185,0,1,1,Neutral
PPIF,6839.987994,-0.075459862,0.091917867,0,1,1,Neutral
IGKV2-40,0.524562454,-0.07547149,0.557662037,0,1,1,Neutral
APBA2,518.1443197,-0.075495843,0.165063148,0,1,1,Neutral
TSPAN1,5827.770523,-0.07552456,0.193914215,0,1,1,Neutral
EBLN3P,2180.126064,-0.075572439,0.063690294,0,1,1,Neutral
SNRNP48,701.7927408,-0.075749391,0.053246237,0,1,1,Neutral
C17orf80,975.1530716,-0.075885066,0.046360913,0,1,1,Neutral
TBC1D24,705.3540161,-0.07590702,0.0568215,0,1,1,Neutral
MRPS14,1265.11902,-0.075942506,0.045354361,0,1,1,Neutral
COX11,1426.179308,-0.076024946,0.046110059,0,1,1,Neutral
SMIM27,175.5053573,-0.076145981,0.07588279,0,1,1,Neutral
RNU7-59P,0.263621485,-0.07617186,0.404057886,0,1,1,Neutral
ADGRG7,16.7014001,-0.076180456,0.304513361,0,1,1,Neutral
VAMP2,2314.205469,-0.076197054,0.066353099,0,1,1,Neutral
ZFAND5,8381.051953,-0.076280402,0.059330809,0,1,1,Neutral
MARK2P11,0.209566824,-0.076296016,0.53261962,0,1,1,Neutral
BOLA3-AS1,106.5762219,-0.076326048,0.128004315,0,1,1,Neutral
MIR3680-2,0.288591213,-0.076345539,0.455739214,0,1,1,Neutral
RDH11,3560.737811,-0.076353897,0.056723497,0,1,1,Neutral
BMP4,662.9606967,-0.076415639,0.168045351,0,1,1,Neutral
TOR1AIP1,2560.663469,-0.076501786,0.05884646,0,1,1,Neutral
PRODH,183.9429501,-0.076599062,0.198514764,0,1,1,Neutral
TPRG1L,3809.155199,-0.076651656,0.057027435,0,1,1,Neutral
ACBD6,2083.066781,-0.076651986,0.046036099,0,1,1,Neutral
PLA2G2E,0.5559043,-0.07671211,0.448649231,0,1,1,Neutral
SLC27A1,1083.410711,-0.07671242,0.075473137,0,1,1,Neutral
RPS3AP26,62.41194379,-0.076756609,0.102921943,0,1,1,Neutral
RFXANK,2612.461469,-0.07676153,0.069799266,0,1,1,Neutral
CDS1,1871.71762,-0.076777552,0.097875296,0,1,1,Neutral
NUBP2,2799.782549,-0.076792706,0.053857677,0,1,1,Neutral
KRT18P21,1.233726872,-0.076856285,0.21159204,0,1,1,Neutral
SMAP1,539.5479561,-0.07689771,0.05297955,0,1,1,Neutral
TUB,266.2329341,-0.077000715,0.157179283,0,1,1,Neutral
RNU6-11P,0.208885448,-0.077025635,0.373028285,0,1,1,Neutral
HEMGN,1.23851165,-0.077043531,0.332472938,0,1,1,Neutral
RAP1B,2394.524869,-0.077121472,0.075260101,0,1,1,Neutral
ATF6B,6676.93744,-0.077190486,0.050671604,0,1,1,Neutral
RPL27A,41134.32806,-0.077205116,0.078445335,0,1,1,Neutral
MT3,9.051279897,-0.077454773,0.217160485,0,1,1,Neutral
DHDDS,1868.779232,-0.077474317,0.046734143,0,1,1,Neutral
GEN1,973.0673798,-0.0775212,0.071974899,0,1,1,Neutral
EPHX4,111.2515127,-0.077547506,0.145456884,0,1,1,Neutral
ARFGAP1,5456.100838,-0.077580036,0.059770907,0,1,1,Neutral
LINC02044,4.017290808,-0.077728062,0.148191266,0,1,1,Neutral
ADAM3B,0.194484075,-0.077822058,0.527119899,0,1,1,Neutral
GSS,4298.924401,-0.077853089,0.060240103,0,1,1,Neutral
PTMAP5,140.7380461,-0.077931023,0.078565851,0,1,1,Neutral
FOXN3-AS1,122.9888691,-0.077954873,0.094186337,0,1,1,Neutral
TMEM42,635.2173612,-0.077981525,0.060382914,0,1,1,Neutral
EPCAM,6961.973185,-0.07818225,0.135313125,0,1,1,Neutral
CGB7,61.99249901,-0.078229862,0.154098021,0,1,1,Neutral
ZSWIM2,0.29183652,-0.078236981,0.423499968,0,1,1,Neutral
DBH,14.08593733,-0.078302818,0.174232988,0,1,1,Neutral
ADAMTSL4-AS1,27.08593517,-0.078544202,0.127745747,0,1,1,Neutral
REST,1904.818406,-0.07871584,0.050068471,0,1,1,Neutral
MINDY3,846.3248018,-0.078729634,0.05545932,0,1,1,Neutral
KBTBD6,617.9805162,-0.078832509,0.065976409,0,1,1,Neutral
VCPKMT,372.8430386,-0.078874707,0.049443223,0,1,1,Neutral
SIAH1,714.3013808,-0.079033713,0.058284532,0,1,1,Neutral
SLC34A3,27.07672716,-0.079125998,0.174755598,0,1,1,Neutral
U2SURP,5442.656095,-0.079164418,0.051379894,0,1,1,Neutral
ARID3B,465.2927506,-0.079258631,0.086274858,0,1,1,Neutral
CDK11B,1772.86104,-0.079298178,0.040126066,0,1,1,Neutral
C1orf189,1.987811201,-0.079337067,0.152568227,0,1,1,Neutral
MIR635,15.76358932,-0.079352385,0.079713785,0,1,1,Neutral
RNU6-37P,1.957846702,-0.079421518,0.179841976,0,1,1,Neutral
OR52B2,0.239459615,-0.079447375,0.647545688,0,1,1,Neutral
IMPA1,962.6682134,-0.079454234,0.069192121,0,1,1,Neutral
DOCK9-AS1,0.386832892,-0.079512607,0.476850739,0,1,1,Neutral
ACOT1,123.3489212,-0.079516527,0.103430165,0,1,1,Neutral
NPRL3,2126.162451,-0.079533704,0.051677557,0,1,1,Neutral
MIF,3177.779021,-0.079616249,0.089474375,0,1,1,Neutral
CEBPG,3302.546675,-0.079620573,0.05588418,0,1,1,Neutral
RNU6-80P,0.475256381,-0.079622253,0.251192363,0,1,1,Neutral
C8orf31,153.1878846,-0.07963597,0.169871564,0,1,1,Neutral
CCDC138,326.1546966,-0.079686271,0.077452489,0,1,1,Neutral
ELFN1-AS1,73.26749702,-0.079693281,0.234298054,0,1,1,Neutral
NUDT22,1480.432672,-0.079750315,0.059734153,0,1,1,Neutral
OR8A2P,0.502098359,-0.079790563,0.537325257,0,1,1,Neutral
LSG1,2859.814945,-0.079831473,0.046478077,0,1,1,Neutral
MECP2,2374.776551,-0.07999506,0.04643367,0,1,1,Neutral
SAFB,5792.524338,-0.080004,0.035908676,0,1,1,Neutral
CEACAM18,0.232254334,-0.080017136,0.671801938,0,1,1,Neutral
CDC42,13221.75605,-0.080044557,0.037785667,0,1,1,Neutral
MED26,430.5294245,-0.080148499,0.037839405,0,1,1,Neutral
RAB29,1383.857726,-0.080163502,0.072882395,0,1,1,Neutral
RPS9,38110.20528,-0.080195563,0.07087569,0,1,1,Neutral
ZFP36L2,12131.65071,-0.080257625,0.076233369,0,1,1,Neutral
EPAS1,13231.79476,-0.080303648,0.098637996,0,1,1,Neutral
TIGD1,279.1349424,-0.080349878,0.075808571,0,1,1,Neutral
TMEM87A,4427.841914,-0.080403523,0.047668356,0,1,1,Neutral
SNORD36C,2.718480587,-0.080414893,0.126064657,0,1,1,Neutral
C8G,42.17581893,-0.080459644,0.120153768,0,1,1,Neutral
KLHL2P1,9.27802611,-0.080488986,0.124750251,0,1,1,Neutral
ZNF696,359.9226024,-0.080493967,0.064095127,0,1,1,Neutral
IGHV3-62,3.425308149,-0.080507122,0.307050013,0,1,1,Neutral
CLN5,579.6085306,-0.080507703,0.05819794,0,1,1,Neutral
LAMTOR5,3383.432429,-0.080510324,0.048187216,0,1,1,Neutral
OR8Q1P,1.161973615,-0.080528437,0.462937916,0,1,1,Neutral
FAM8A1,1441.235237,-0.080662229,0.063312879,0,1,1,Neutral
TNNI1,152.5809502,-0.080708756,0.128992608,0,1,1,Neutral
LSM8,1620.968826,-0.080716454,0.045551369,0,1,1,Neutral
YIPF3,6827.380358,-0.080745047,0.055338318,0,1,1,Neutral
GPR20,9.633231961,-0.080755878,0.169346515,0,1,1,Neutral
MAGI2-AS3,334.6721595,-0.080775415,0.141873036,0,1,1,Neutral
C10orf88,409.4221399,-0.080831959,0.043806005,0,1,1,Neutral
ETFA,4426.726038,-0.08104693,0.051600418,0,1,1,Neutral
TMEM223,1117.033044,-0.081077456,0.064560991,0,1,1,Neutral
WDR89,663.802691,-0.081097362,0.048553578,0,1,1,Neutral
SSBP3,2772.329099,-0.08117451,0.073791176,0,1,1,Neutral
PAIP2,2320.368072,-0.081186797,0.044598674,0,1,1,Neutral
PIKFYVE,1182.895441,-0.081466877,0.063088805,0,1,1,Neutral
PTPN18,3409.164666,-0.081498489,0.073243622,0,1,1,Neutral
ST14,15307.46263,-0.081521454,0.101852355,0,1,1,Neutral
ZNF707,776.4451581,-0.08158449,0.057475081,0,1,1,Neutral
PSMC1P5,0.590379445,-0.081595735,0.220637581,0,1,1,Neutral
TLN2,735.017828,-0.081619936,0.096132066,0,1,1,Neutral
SP4,368.6786712,-0.081715394,0.070495519,0,1,1,Neutral
LINC00467,385.5853859,-0.081790834,0.078510391,0,1,1,Neutral
WWC1,2010.207526,-0.081851903,0.10454897,0,1,1,Neutral
SLC6A11,489.9062937,-0.081958957,0.218169476,0,1,1,Neutral
LINC01250,0.770324022,-0.081986971,0.305530293,0,1,1,Neutral
TTBK1,28.08541699,-0.082044192,0.151796188,0,1,1,Neutral
SNORD67,1.759458738,-0.082048421,0.222527117,0,1,1,Neutral
OR6A2,0.363388427,-0.08208482,0.386015257,0,1,1,Neutral
YTHDF1,3607.28997,-0.082090342,0.040006688,0,1,1,Neutral
METTL2B,1181.068379,-0.082100195,0.046847689,0,1,1,Neutral
UBTF,6972.265406,-0.082104469,0.033493041,0,1,1,Neutral
SCAPER,608.3794203,-0.082176663,0.082697836,0,1,1,Neutral
PRKAA1,3269.550593,-0.082273161,0.060284038,0,1,1,Neutral
XRCC1,2418.750518,-0.082405795,0.047851093,0,1,1,Neutral
COMMD6,3580.148864,-0.082418395,0.06465289,0,1,1,Neutral
ZNF467,246.7593478,-0.082504775,0.117954615,0,1,1,Neutral
RPL7P61,0.228062905,-0.08251038,0.398347113,0,1,1,Neutral
UBE2E1,3698.098985,-0.082534626,0.046616284,0,1,1,Neutral
RCHY1,672.86955,-0.082550226,0.047624833,0,1,1,Neutral
RPL13AP,0.243046343,-0.082579261,0.358321888,0,1,1,Neutral
MTERF1,462.2987915,-0.082657898,0.049122692,0,1,1,Neutral
PTK2B,2035.46932,-0.082764346,0.092683879,0,1,1,Neutral
KRT18P35,0.99637856,-0.082778181,0.207836786,0,1,1,Neutral
GPBP1L1,5528.704308,-0.082786505,0.036657056,0,1,1,Neutral
BNIP2,2984.686589,-0.082826929,0.046219354,0,1,1,Neutral
TSPY9P,0.203289632,-0.082829175,1.503162287,0,1,1,Neutral
SOD3,1834.925617,-0.082879238,0.172091608,0,1,1,Neutral
MRPL46,626.9364909,-0.08288061,0.050807344,0,1,1,Neutral
HSD17B8,694.5781093,-0.082890844,0.090142323,0,1,1,Neutral
NRGN,329.477519,-0.08289173,0.108517574,0,1,1,Neutral
MIR933,0.36362627,-0.082931277,0.331508315,0,1,1,Neutral
IGKV1-9,369.5272758,-0.082966078,0.260936509,0,1,1,Neutral
ANP32A,6989.860717,-0.083014092,0.046039103,0,1,1,Neutral
RN7SL404P,0.191011027,-0.083196045,0.45104803,0,1,1,Neutral
SPACA6P-AS,12.37182115,-0.083206528,0.159072745,0,1,1,Neutral
DGCR2,7446.788013,-0.083240026,0.053531244,0,1,1,Neutral
OCIAD1,4923.67957,-0.083242696,0.041843175,0,1,1,Neutral
ZNF79,238.5323507,-0.083259234,0.058685158,0,1,1,Neutral
FANCD2,1463.572853,-0.083281181,0.082746243,0,1,1,Neutral
SIN3A,3126.967024,-0.083301801,0.040415067,0,1,1,Neutral
COQ10B,1473.215986,-0.083302265,0.050488263,0,1,1,Neutral
SLC6A6,3303.531613,-0.083325303,0.100911266,0,1,1,Neutral
CD2BP2,4600.432933,-0.083373365,0.04921001,0,1,1,Neutral
TNFSF13,361.4875631,-0.083375684,0.08502554,0,1,1,Neutral
KRT18P9,0.32575069,-0.083381157,0.296202081,0,1,1,Neutral
SOD1,10001.5329,-0.083698982,0.058867786,0,1,1,Neutral
MRPL35,1929.074738,-0.08374589,0.038523709,0,1,1,Neutral
TMEM115,2880.835925,-0.083787729,0.055082601,0,1,1,Neutral
TCAF1,924.3631186,-0.083836284,0.05941965,0,1,1,Neutral
FOXN1,312.4399849,-0.083841081,0.241422136,0,1,1,Neutral
CORO7,801.6280584,-0.083888557,0.081233387,0,1,1,Neutral
GRM7,12.23195116,-0.083944925,0.243050881,0,1,1,Neutral
SNORD92,0.545490048,-0.084055315,0.300571399,0,1,1,Neutral
PRMT6,992.3710073,-0.084066222,0.072203214,0,1,1,Neutral
KCNJ14,139.8621402,-0.084268083,0.100184576,0,1,1,Neutral
ACTN3,5.340346965,-0.084285042,0.164396029,0,1,1,Neutral
ADAM7,0.379907895,-0.084293771,0.56483777,0,1,1,Neutral
RBAK-RBAKDN,2.608150863,-0.08431926,0.141139665,0,1,1,Neutral
HMOX1,3235.984767,-0.084418224,0.146245962,0,1,1,Neutral
ZCCHC10,680.0773962,-0.084439202,0.045188073,0,1,1,Neutral
ATP5MF,6218.911961,-0.084544014,0.065728718,0,1,1,Neutral
VAV3-AS1,0.62364904,-0.084759676,0.377663926,0,1,1,Neutral
TBCEL,655.8187613,-0.0847974,0.065925583,0,1,1,Neutral
TAZ,1500.296264,-0.08489431,0.063977041,0,1,1,Neutral
WASF3,340.827748,-0.084952372,0.125931322,0,1,1,Neutral
PGP,1299.335315,-0.085004234,0.073819253,0,1,1,Neutral
RNU6-306P,0.206917582,-0.08501434,0.689792196,0,1,1,Neutral
MIDN,6696.549208,-0.085027213,0.073059053,0,1,1,Neutral
RPS27AP18,0.196595462,-0.085028918,0.37033716,0,1,1,Neutral
LINC02166,14.23394694,-0.085034294,0.094096899,0,1,1,Neutral
FAN1,579.8587961,-0.085042985,0.06717405,0,1,1,Neutral
EWSR1,13682.51049,-0.085090117,0.035320176,0,1,1,Neutral
NSMAF,1769.623681,-0.085145755,0.049681768,0,1,1,Neutral
HSF2,613.4509431,-0.085300107,0.058505586,0,1,1,Neutral
OR7E38P,247.1987025,-0.085388099,0.086635346,0,1,1,Neutral
SPAST,1277.532944,-0.08539824,0.048278728,0,1,1,Neutral
SH2B2,404.8870236,-0.085465449,0.096825556,0,1,1,Neutral
FCN2,1.048892627,-0.085515098,0.31553478,0,1,1,Neutral
RPL7P11,1.132482081,-0.085659112,0.211265922,0,1,1,Neutral
MNT,1472.507897,-0.085667467,0.057879128,0,1,1,Neutral
GPSM3,1118.720741,-0.085782541,0.122639421,0,1,1,Neutral
EXD3,651.3540142,-0.085900265,0.078855856,0,1,1,Neutral
KRT18P6,0.214116628,-0.08604163,0.362575163,0,1,1,Neutral
MED4,1978.356753,-0.086090608,0.045840705,0,1,1,Neutral
KIAA1549,634.5659327,-0.086115805,0.117870849,0,1,1,Neutral
EIF3KP3,0.301695407,-0.086162074,0.421812262,0,1,1,Neutral
ZNF274,1188.103791,-0.086176134,0.066734479,0,1,1,Neutral
IFT46,958.2468909,-0.086278384,0.053715456,0,1,1,Neutral
MSRA,514.7223588,-0.086341379,0.091303456,0,1,1,Neutral
RIMBP3C,1.82342681,-0.086358296,0.20326982,0,1,1,Neutral
LINC00837,0.501441581,-0.086370157,0.316322882,0,1,1,Neutral
CNOT7,3115.022179,-0.086389704,0.052171113,0,1,1,Neutral
SLC4A10,4.597020904,-0.086396682,0.222773395,0,1,1,Neutral
CPM,1762.695416,-0.086602114,0.162840065,0,1,1,Neutral
INTS14,2260.766266,-0.086646807,0.03650943,0,1,1,Neutral
RPLP0P7,0.260664118,-0.086664648,0.454333171,0,1,1,Neutral
PEX10,876.2409385,-0.086684473,0.046163357,0,1,1,Neutral
BCL2L10,87.99065382,-0.086688401,0.167068037,0,1,1,Neutral
NEURL2,40.86028454,-0.086765133,0.086934936,0,1,1,Neutral
NDFIP1,4818.603604,-0.08678842,0.044894191,0,1,1,Neutral
PAPOLG,901.8721548,-0.086835312,0.048342439,0,1,1,Neutral
PKP4-AS1,19.92296699,-0.086892603,0.147165354,0,1,1,Neutral
BCHE,155.5399854,-0.086981567,0.237694993,0,1,1,Neutral
IGLV5-48,4.282295318,-0.087170614,0.32924046,0,1,1,Neutral
CHCHD4,814.4836813,-0.087178346,0.065762758,0,1,1,Neutral
TOMM22P2,0.279925593,-0.087230746,0.516121342,0,1,1,Neutral
VPS52,2442.714718,-0.087238351,0.044307907,0,1,1,Neutral
SNORD46,9.128310715,-0.087300261,0.110852232,0,1,1,Neutral
HPN,67.1641089,-0.087369848,0.233781242,0,1,1,Neutral
VPS26B,2623.303276,-0.087390412,0.040259463,0,1,1,Neutral
PHF21A,1542.630563,-0.087428016,0.055268604,0,1,1,Neutral
FMR1NB,1.530681115,-0.08752961,0.267602191,0,1,1,Neutral
TUBB4BP2,0.788512094,-0.087556034,0.301881883,0,1,1,Neutral
NDUFAF6,703.66698,-0.087768965,0.057806957,0,1,1,Neutral
THAP8,310.5879121,-0.087912748,0.073154737,0,1,1,Neutral
MIR3122,0.24098641,-0.08797184,0.33229709,0,1,1,Neutral
CAND2,245.7949506,-0.088049404,0.159808585,0,1,1,Neutral
RYK,3365.68366,-0.088064892,0.04404625,0,1,1,Neutral
ARHGAP19-SLIT1,0.7924883,-0.088183063,0.271103035,0,1,1,Neutral
CLYBL-AS1,0.189253122,-0.088218577,0.788572753,0,1,1,Neutral
DZIP1L,252.0836565,-0.088254381,0.113561058,0,1,1,Neutral
LINC00867,1.203991691,-0.088318849,0.220515305,0,1,1,Neutral
NDUFA10,4091.170078,-0.088371577,0.052464325,0,1,1,Neutral
CYYR1,433.5630792,-0.088455766,0.10581345,0,1,1,Neutral
NDUFB11,5279.876566,-0.088469696,0.07240662,0,1,1,Neutral
RAMP2,633.0986258,-0.088621449,0.102434163,0,1,1,Neutral
SEL1L3,2877.316218,-0.088680267,0.109983869,0,1,1,Neutral
PPP1R3F,273.0982272,-0.088857268,0.091349189,0,1,1,Neutral
DSTN,20054.15699,-0.088916612,0.083032345,0,1,1,Neutral
GAPT,41.37103075,-0.08894314,0.166410505,0,1,1,Neutral
NEFH,48.24419099,-0.088962714,0.174381839,0,1,1,Neutral
CBX3P2,37.63092447,-0.088983137,0.094171619,0,1,1,Neutral
RN7SL170P,0.250088828,-0.089007144,0.392483832,0,1,1,Neutral
PIAS1,1461.999152,-0.089045743,0.059154159,0,1,1,Neutral
DENND2A,442.7951631,-0.089046486,0.135569163,0,1,1,Neutral
RPL22P3,5.144856858,-0.089076676,0.125572624,0,1,1,Neutral
AGO1,1898.390962,-0.089139524,0.048816646,0,1,1,Neutral
POLR2H,3351.933542,-0.089141184,0.057354424,0,1,1,Neutral
METRN,770.0818143,-0.089142193,0.128390901,0,1,1,Neutral
C1orf52,885.8823204,-0.089166742,0.042087192,0,1,1,Neutral
C7orf26,1576.001411,-0.089283374,0.048013715,0,1,1,Neutral
N4BP3,707.7841067,-0.089307984,0.114332509,0,1,1,Neutral
PLEKHG4B,481.7558513,-0.089355775,0.248118564,0,1,1,Neutral
DPCD,871.9782769,-0.089383641,0.074608653,0,1,1,Neutral
MAP4K5,2212.138197,-0.089388019,0.050525645,0,1,1,Neutral
OPN4,4.108853261,-0.089390098,0.218105423,0,1,1,Neutral
TPRA1,2608.337102,-0.08949239,0.051247739,0,1,1,Neutral
RAD50,2697.18648,-0.089564433,0.05592906,0,1,1,Neutral
PEX11B,1614.514049,-0.089572606,0.049352132,0,1,1,Neutral
TRIM26,3955.25258,-0.089597079,0.049806104,0,1,1,Neutral
LINC01497,0.254389065,-0.089681243,0.429559607,0,1,1,Neutral
EP400,2985.032661,-0.089713153,0.049226187,0,1,1,Neutral
XKR8,557.3938009,-0.089836791,0.054474334,0,1,1,Neutral
SDHAF1,744.4945487,-0.089851872,0.062145208,0,1,1,Neutral
PHKA1-AS1,0.792152462,-0.089878477,0.234781192,0,1,1,Neutral
RNU6-237P,0.395794743,-0.0899943,0.238480081,0,1,1,Neutral
SCOC,2801.709634,-0.090042869,0.050530386,0,1,1,Neutral
RBM15B,4407.633054,-0.090051854,0.04465433,0,1,1,Neutral
MAPK8,1372.793959,-0.09005756,0.052057698,0,1,1,Neutral
INTS2,831.2069451,-0.090098327,0.066720443,0,1,1,Neutral
ATAD5,508.3108077,-0.090104994,0.08706184,0,1,1,Neutral
TM9SF3,10463.87823,-0.090116367,0.046103635,0,1,1,Neutral
AGK,1428.845764,-0.090146998,0.044004895,0,1,1,Neutral
RLF,1439.020352,-0.090256719,0.070992419,0,1,1,Neutral
ZBTB7A,3167.48467,-0.090372653,0.057616698,0,1,1,Neutral
RTL8A,3246.767611,-0.090462424,0.066932916,0,1,1,Neutral
RAD51B,285.1947171,-0.09048496,0.073731437,0,1,1,Neutral
SLK,5877.957183,-0.090511593,0.069497406,0,1,1,Neutral
GPS2P2,0.371956694,-0.090565197,0.3248573,0,1,1,Neutral
GABARAPL2,3362.223341,-0.090598004,0.044548136,0,1,1,Neutral
PSPC1,2047.063531,-0.090616347,0.048759767,0,1,1,Neutral
RIPK4,2570.964249,-0.090638791,0.118371682,0,1,1,Neutral
WDR20,881.347223,-0.090668912,0.040346444,0,1,1,Neutral
EXOSC7,2051.456718,-0.090701168,0.053755243,0,1,1,Neutral
LINC01568,0.265232825,-0.090725367,0.466994261,0,1,1,Neutral
RNF148,4.272005842,-0.090747537,0.178224063,0,1,1,Neutral
ASF1A,946.9243032,-0.090841273,0.06230781,0,1,1,Neutral
LINC00552,4.353497267,-0.090865199,0.322097805,0,1,1,Neutral
GSDMA,115.3973649,-0.090900737,0.166465106,0,1,1,Neutral
RN7SL620P,0.24726857,-0.090953286,0.521989167,0,1,1,Neutral
CDK13,2669.139752,-0.091056142,0.042901013,0,1,1,Neutral
MROH9,1.023157945,-0.09105751,0.277780171,0,1,1,Neutral
MIS18A,1020.021826,-0.091112016,0.070395373,0,1,1,Neutral
RCN1,9362.146459,-0.091345924,0.081319725,0,1,1,Neutral
C16orf86,102.8905714,-0.091393117,0.098669441,0,1,1,Neutral
ACTR1B,3245.942204,-0.091513013,0.046403437,0,1,1,Neutral
DDHD2,1634.951489,-0.091541603,0.080530318,0,1,1,Neutral
BOD1L1,2058.268701,-0.091555459,0.067584438,0,1,1,Neutral
RNU6-230P,0.31207276,-0.091618701,0.329322264,0,1,1,Neutral
ARMC8,1874.570358,-0.091655677,0.036193258,0,1,1,Neutral
BHLHA9,0.453871326,-0.091658316,0.413696155,0,1,1,Neutral
SCO1,1651.915828,-0.091725482,0.061481118,0,1,1,Neutral
LINC01539,2.058765286,-0.091912353,0.234467138,0,1,1,Neutral
RNF41,1943.83774,-0.09196268,0.0406639,0,1,1,Neutral
VPS29,3590.045993,-0.092132841,0.046022788,0,1,1,Neutral
PAX8-AS1,1088.96927,-0.092337792,0.177765713,0,1,1,Neutral
SLC16A13,393.8302025,-0.092603798,0.091040966,0,1,1,Neutral
TFPT,1315.120147,-0.092657588,0.08047402,0,1,1,Neutral
MTA2,8104.176565,-0.092668801,0.043502249,0,1,1,Neutral
ADA2,1926.891005,-0.092734992,0.135301554,0,1,1,Neutral
TOMM34,4396.919044,-0.092735044,0.079279241,0,1,1,Neutral
ALAD,1986.270766,-0.092897934,0.060022639,0,1,1,Neutral
SLITRK2,7.953228839,-0.093134872,0.251366453,0,1,1,Neutral
ZBTB47,970.334427,-0.093162488,0.078154922,0,1,1,Neutral
UBA3,2517.747466,-0.093288101,0.047075121,0,1,1,Neutral
AGPAT2,4870.670508,-0.093302773,0.104994987,0,1,1,Neutral
RHOBTB1,704.6593174,-0.093386349,0.103355811,0,1,1,Neutral
FDX1,1385.23843,-0.093437967,0.075799171,0,1,1,Neutral
GTF3AP2,0.17948301,-0.093463112,0.963012759,0,1,1,Neutral
GFI1B,3.165296278,-0.093537396,0.215628604,0,1,1,Neutral
PYROXD1,538.1578719,-0.093704704,0.056527491,0,1,1,Neutral
HGS,4861.63753,-0.093711867,0.049941267,0,1,1,Neutral
ZNF232,398.7079894,-0.093729538,0.075242626,0,1,1,Neutral
PIGH,567.6897942,-0.093794061,0.047263874,0,1,1,Neutral
NDUFB4P3,0.385567048,-0.093811197,0.431945857,0,1,1,Neutral
PDPK1,1020.484699,-0.093813908,0.058463126,0,1,1,Neutral
COQ10A,294.7191455,-0.093819779,0.072177974,0,1,1,Neutral
SLC30A9,2491.65043,-0.093898731,0.045346012,0,1,1,Neutral
RPS15AP25,0.211428362,-0.09398133,0.374675673,0,1,1,Neutral
ARAP1,6268.473133,-0.094006566,0.073315848,0,1,1,Neutral
ALKBH3-AS1,11.46612369,-0.094008952,0.094643096,0,1,1,Neutral
STAR,23.21469046,-0.094072991,0.181877167,0,1,1,Neutral
RNF135,1337.24554,-0.094167928,0.055012212,0,1,1,Neutral
ADGRA2,1647.609508,-0.094255387,0.14268757,0,1,1,Neutral
PIM3,5099.825692,-0.094319033,0.081029252,0,1,1,Neutral
FAHD2B,375.0790371,-0.094398937,0.10818173,0,1,1,Neutral
RNF181,3785.827301,-0.09447181,0.060546283,0,1,1,Neutral
MIR210HG,527.2234888,-0.094480276,0.127707583,0,1,1,Neutral
ASB7,744.8561013,-0.094548078,0.041083969,0,1,1,Neutral
SPEN,4240.532629,-0.094602918,0.053854797,0,1,1,Neutral
IGLV8-61,138.9788203,-0.094619821,0.270136059,0,1,1,Neutral
BANP,728.8157659,-0.094647881,0.045540147,0,1,1,Neutral
RPP25,1186.989413,-0.094707913,0.108724222,0,1,1,Neutral
RPS4X,57802.80066,-0.094708628,0.065262306,0,1,1,Neutral
KLF11,958.5421713,-0.094709177,0.091365751,0,1,1,Neutral
ANKLE1,66.8443798,-0.094785493,0.131277699,0,1,1,Neutral
TMEM30A,7469.420157,-0.094906786,0.052056969,0,1,1,Neutral
PRICKLE2-AS1,1.733122051,-0.094916578,0.239227521,0,1,1,Neutral
RPS2,50763.06508,-0.094956785,0.077168526,0,1,1,Neutral
FDPSP1,0.724187638,-0.09506094,0.225083107,0,1,1,Neutral
PRR19,149.4524196,-0.095081083,0.098757202,0,1,1,Neutral
SYNJ1,583.0054023,-0.095109347,0.067155827,0,1,1,Neutral
C1orf50,438.7334163,-0.095138224,0.060048911,0,1,1,Neutral
DAPK2,304.6486993,-0.095162429,0.137343556,0,1,1,Neutral
