,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
MIR5680,0.034419867,-0.121276926,1.59510637,0,1,NA,Neutral
OR5A2,0.030406765,-0.121485341,2.264743362,0,1,NA,Neutral
SPATA2P1,0.044038299,-0.12148671,2.045795396,0,1,NA,Neutral
OR5AK3P,0.038000126,-0.121487406,1.917346651,0,1,NA,Neutral
FAM138A,0.036774703,-0.121487987,1.795183342,0,1,NA,Neutral
ZNF962P,0.037574693,-0.121487995,1.793314232,0,1,NA,Neutral
POM121L12,0.046402352,-0.12148849,1.670158767,0,1,NA,Neutral
SOD1P2,0.038194698,-0.121488762,1.588585355,0,1,NA,Neutral
INS-IGF2,0.033173636,-0.121488971,1.512435938,0,1,NA,Neutral
MTND2P38,0.030635897,-0.121489124,1.440565109,0,1,NA,Neutral
RN7SL585P,0.102595014,-0.121846836,0.99425745,0,1,NA,Neutral
MTCYBP29,0.104993663,-0.121847785,0.826815955,0,1,NA,Neutral
RPL7P54,0.105471724,-0.121849352,0.61484193,0,1,NA,Neutral
OOSP1P1,0.061298724,-0.122127232,1.29315033,0,1,NA,Neutral
MIR5003,0.14848422,-0.122643794,0.793415358,0,1,NA,Neutral
LONRF2P1,0.06028369,-0.122837354,1.097886664,0,1,NA,Neutral
PPIAP69,0.058259154,-0.122838675,1.188916909,0,1,NA,Neutral
LINC01015,0.068650609,-0.122839183,1.233709944,0,1,NA,Neutral
MIR584,0.06593482,-0.122839184,1.233817246,0,1,NA,Neutral
KRTAP1-4,0.054946997,-0.122839758,1.295325744,0,1,NA,Neutral
RNU5E-3P,0.082222928,-0.12284103,1.555433197,0,1,NA,Neutral
MIR6780B,0.16153617,-0.122957231,0.635010564,0,1,NA,Neutral
RNU6-44P,0.058064281,-0.122991715,1.141367767,0,1,NA,Neutral
RPL21P103,0.099477604,-0.123337071,0.726046036,0,1,NA,Neutral
RPL21P66,0.076796894,-0.123776174,0.722831601,0,1,NA,Neutral
BSPH1,0.085128128,-0.123779679,0.92872707,0,1,NA,Neutral
CETN1,0.079612851,-0.123781252,1.490027393,0,1,NA,Neutral
NEUROD6,0.043693523,-0.124478294,1.908707924,0,1,NA,Neutral
PRNT,0.046269549,-0.124479053,1.67398646,0,1,NA,Neutral
RPEP1,0.046648609,-0.124479056,1.673049435,0,1,NA,Neutral
MIR6766,0.043527075,-0.124479297,1.500673907,0,1,NA,Neutral
RN7SKP29,0.041407937,-0.124479297,1.502251748,0,1,NA,Neutral
IGLVV-58,0.095419028,-0.12472041,1.660001962,0,1,NA,Neutral
DEFB122,0.101842096,-0.124725714,0.907152246,0,1,NA,Neutral
RN7SKP72,0.17014815,-0.124727177,0.779905502,0,1,NA,Neutral
RN7SL304P,0.107306421,-0.124727629,0.747614236,0,1,NA,Neutral
CDY7P,0.106762985,-0.12479398,0.725494305,0,1,NA,Neutral
RPS4XP15,0.061573399,-0.125714687,1.060987703,0,1,NA,Neutral
HSFY1,0.061735637,-0.125715297,1.100960462,0,1,NA,Neutral
LINC00554,0.072659004,-0.125715786,1.137812276,0,1,NA,Neutral
RPL12P22,0.076517651,-0.125717189,1.286032438,0,1,NA,Neutral
MIR3664,0.072223318,-0.125717205,1.288379467,0,1,NA,Neutral
RNU6-1107P,0.076541633,-0.125718074,1.4815437,0,1,NA,Neutral
RPL34P17,0.136191973,-0.125952815,0.703662733,0,1,NA,Neutral
RNU6-1275P,0.064732551,-0.126009741,1.059173094,0,1,NA,Neutral
MTCO1P9,0.119269638,-0.126022357,0.592654446,0,1,NA,Neutral
MIR517C,0.032220686,-0.126073165,2.999741277,0,1,NA,Neutral
RNU6-380P,0.031731899,-0.126075809,2.7256415,0,1,NA,Neutral
OR4A40P,0.026771913,-0.12607785,2.493499234,0,1,NA,Neutral
RN7SL135P,0.028310495,-0.12607793,2.483849569,0,1,NA,Neutral
RNU7-190P,0.029560391,-0.126078005,2.474891611,0,1,NA,Neutral
USP9YP28,0.019507468,-0.12608066,2.132943731,0,1,NA,Neutral
MIR183,0.023521966,-0.126080817,2.11092042,0,1,NA,Neutral
MIR6802,0.026135979,-0.126080902,2.098904345,0,1,NA,Neutral
RNU6-1145P,0.02700821,-0.126080929,2.095149899,0,1,NA,Neutral
RPL26P9,0.172030593,-0.126502058,0.572108914,0,1,NA,Neutral
HMGB1P36,0.092355571,-0.126656416,0.760791508,0,1,NA,Neutral
RNU1-8P,0.085268981,-0.126656725,0.783307526,0,1,NA,Neutral
RNU6-158P,0.095197643,-0.126656972,0.80327689,0,1,NA,Neutral
RNU6-172P,0.09953975,-0.126658777,1.140900632,0,1,NA,Neutral
RNU6-751P,0.057701163,-0.127466455,2.386052993,0,1,NA,Neutral
MIR586,0.063360913,-0.127466552,2.370426871,0,1,NA,Neutral
RPS3AP52,0.050417295,-0.127468196,1.239753146,0,1,NA,Neutral
RNU6-922P,0.047233016,-0.127468557,1.296701734,0,1,NA,Neutral
RN7SL628P,0.045837666,-0.127468561,1.297546298,0,1,NA,Neutral
PISRT1,0.053692591,-0.127469059,1.418381535,0,1,NA,Neutral
MIR548AX,0.089999349,-0.127469171,1.464661299,0,1,NA,Neutral
SLC2AXP1,0.056111004,-0.127469215,1.4893026,0,1,NA,Neutral
UGT1A11P,0.054638367,-0.127469293,1.572558942,0,1,NA,Neutral
LARP7P4,0.043358489,-0.127469297,1.586675026,0,1,NA,Neutral
ZNF317P1,0.117065028,-0.127655094,0.858096303,0,1,NA,Neutral
MIR218-2,0.119771185,-0.127657262,0.661456341,0,1,NA,Neutral
RN7SL339P,0.118133792,-0.127658149,0.604808968,0,1,NA,Neutral
NDUFB4P9,0.077345026,-0.128589614,0.897631605,0,1,NA,Neutral
MTCO2P31,0.099217372,-0.128594659,1.280422784,0,1,NA,Neutral
GFRA4,0.126369367,-0.129046182,0.655893025,0,1,NA,Neutral
MIR520D,0.047517124,-0.129057359,2.999741154,0,1,NA,Neutral
CALCP,0.03780338,-0.129062317,2.437636419,0,1,NA,Neutral
MIR4300,0.041270741,-0.129062405,2.426176298,0,1,NA,Neutral
MTND5P27,0.040992139,-0.129062411,2.425476571,0,1,NA,Neutral
HTR2A-AS1,0.034450836,-0.129063742,2.244985016,0,1,NA,Neutral
HPRT1P3,0.037681929,-0.129063835,2.231631567,0,1,NA,Neutral
RPSAP34,0.032809267,-0.129064866,2.076392393,0,1,NA,Neutral
IGHVII-28-1,0.026721882,-0.12906564,1.948064533,0,1,NA,Neutral
RNU6-359P,0.030079355,-0.129066393,1.80929395,0,1,NA,Neutral
RNU6-40P,0.030854265,-0.129066932,1.697110468,0,1,NA,Neutral
RNU6-1251P,0.088266598,-0.129534912,0.674316114,0,1,NA,Neutral
MIR7150,0.122842931,-0.129536262,1.283265564,0,1,NA,Neutral
LINC01490,0.116657986,-0.129536514,0.989562551,0,1,NA,Neutral
FRG2LP,0.095481452,-0.129536542,1.063306336,0,1,NA,Neutral
SLC29A4P1,0.046851178,-0.130454212,1.026977577,0,1,NA,Neutral
HSPE1P1,0.042691231,-0.130455261,2.688138884,0,1,NA,Neutral
RNU6-1105P,0.060035751,-0.130456259,1.139289256,0,1,NA,Neutral
TP53TG3,0.057442901,-0.130456908,1.186622783,0,1,NA,Neutral
MTND5P18,0.056871869,-0.130457495,1.237803128,0,1,NA,Neutral
LINC02514,0.057377557,-0.130458468,1.352768463,0,1,NA,Neutral
MIR652,0.065179596,-0.130459475,1.656646418,0,1,NA,Neutral
MIR596,0.113066487,-0.130607554,0.716274793,0,1,NA,Neutral
LINC01247,0.121560997,-0.13060776,0.652304796,0,1,NA,Neutral
RNU6-796P,0.106720881,-0.130856676,0.84988795,0,1,NA,Neutral
MIR6500,0.070065912,-0.131467696,0.874640966,0,1,NA,Neutral
MTND6P19,0.152351474,-0.131467957,0.886519237,0,1,NA,Neutral
NT5C1B-RDH14,0.035339338,-0.131770724,1.689609431,0,1,NA,Neutral
MTCO1P21,0.155307073,-0.131894899,0.70820377,0,1,NA,Neutral
MIR4462,0.043002896,-0.132054309,2.222621935,0,1,NA,Neutral
MIR4674,0.034393669,-0.132057676,1.596253625,0,1,NA,Neutral
OR6K6,0.035323652,-0.13205768,1.594575882,0,1,NA,Neutral
RNU6-581P,0.038009878,-0.132057851,1.505548721,0,1,NA,Neutral
VN1R11P,0.131769238,-0.1320986,0.695018281,0,1,NA,Neutral
MIR3137,0.133761232,-0.132413701,1.285605997,0,1,NA,Neutral
RN7SKP58,0.114539977,-0.132414328,1.102157124,0,1,NA,Neutral
MTND4P16,0.106027476,-0.132414996,0.709963812,0,1,NA,Neutral
RNU6-921P,0.057608383,-0.132632305,1.023868445,0,1,NA,Neutral
MIR3661,0.059713664,-0.133400808,0.926660485,0,1,NA,Neutral
FKBP4P2,0.059175611,-0.133400815,0.926848293,0,1,NA,Neutral
MIR615,0.065648801,-0.133406745,1.185125035,0,1,NA,Neutral
CXADRP1,0.068515224,-0.133482836,1.096383672,0,1,NA,Neutral
SNORD65C,0.148359045,-0.133628103,0.660241571,0,1,NA,Neutral
RN7SL791P,0.14657006,-0.133922604,0.869563008,0,1,NA,Neutral
MIR3158-1,0.079767333,-0.13434383,0.761839295,0,1,NA,Neutral
LINC01072,0.09533134,-0.13434485,0.800806253,0,1,NA,Neutral
TRBV12-1,0.083067843,-0.134345887,0.84867274,0,1,NA,Neutral
RNU1-24P,0.043511291,-0.134617499,1.426133767,0,1,NA,Neutral
MTND5P9,0.046414806,-0.135047554,1.355981554,0,1,NA,Neutral
MIR4423,0.045730968,-0.135047556,1.356645027,0,1,NA,Neutral
MIR607,0.043569765,-0.135047562,1.358813632,0,1,NA,Neutral
RNU6-429P,0.039712467,-0.135047573,1.362819042,0,1,NA,Neutral
OOSP2,0.03690142,-0.135047639,1.690539107,0,1,NA,Neutral
FEM1AP3,0.044877173,-0.135047662,1.677067146,0,1,NA,Neutral
OR2V2,0.049277555,-0.135047673,1.670295679,0,1,NA,Neutral
NMS,0.050028748,-0.135047676,1.668633391,0,1,NA,Neutral
NIFKP9,0.042651785,-0.135047771,1.585243668,0,1,NA,Neutral
RNU6-706P,0.044230859,-0.135047773,1.583004276,0,1,NA,Neutral
LINC01861,0.046942053,-0.135047775,1.579478641,0,1,NA,Neutral
MTND1P20,0.055374727,-0.135047776,1.488577755,0,1,NA,Neutral
LRRC30,0.046332807,-0.135047781,1.49679504,0,1,NA,Neutral
LINC01689,0.10138465,-0.13530745,0.789593612,0,1,NA,Neutral
RN7SKP153,0.107950381,-0.135307884,0.693248979,0,1,NA,Neutral
HMGB1P35,0.068270412,-0.136277429,0.871251274,0,1,NA,Neutral
RNU6-934P,0.074743122,-0.136283179,1.095811244,0,1,NA,Neutral
OR7E162P,0.15228017,-0.136567655,0.584075068,0,1,NA,Neutral
MTCYBP2,0.02523,-0.136582026,1.82236813,0,1,NA,Neutral
CYCSP42,0.025945515,-0.136635416,2.999741221,0,1,NA,Neutral
KRT19P6,0.029159234,-0.136635416,2.999741221,0,1,NA,Neutral
OR13C9,0.038915231,-0.136635416,2.999741221,0,1,NA,Neutral
RNU6-253P,0.028217135,-0.136635416,2.999741221,0,1,NA,Neutral
OR5G1P,0.032091635,-0.136640313,2.463418453,0,1,NA,Neutral
