sample,DSC1,MDGA2,DLX1,GGT2,GNLY,UGT2B4
TCGA-DK-AA74-01A,0,0,0.09841,0.04426,3.524,0.02121
TCGA-E5-A2PC-01A,0,0,0.005394,0,1.813,0
TCGA-E5-A4U1-01A,0,0.05561,0.01949,1.69,0.7869,0.05653
TCGA-E7-A3X6-01A,0,0,0.01542,0.01193,1.62,0
TCGA-E7-A4IJ-01A,0.008737,0.01809,0.0503,0.1783,2.554,0
TCGA-E7-A519-01A,0,0,0.01247,0.147,2.362,0
TCGA-E7-A541-01A,0.02412,0,0.4927,0.6395,2.605,0.04115
TCGA-E7-A5KE-01A,0.007217,0,0.03342,1.042,0.1073,0.8274
TCGA-E7-A678-01A,0.009496,0,0.01109,0.3084,1.045,0.01626
TCGA-E7-A7DU-01A,0,0,0.1375,0.4549,0.6988,0.4667
TCGA-E7-A7DV-01A,0.005486,0,0.123,0.0197,2.092,0
TCGA-E7-A7PW-01A,0.07984,0.09173,0.08282,0.508,0.8381,0.09097
TCGA-E7-A7XN-01A,0,0,0.07537,0,5.296,0
TCGA-E7-A8O7-01A,0.01128,0,0.01317,0.4523,0.5528,0.009682
TCGA-E7-A97P-01A,0.00744,0,0.06808,0,4.967,0.08693
TCGA-FD-A3B4-01A,0.08371,0,1.563,0,3.641,0
TCGA-FD-A3B6-01A,0.0314,0.1882,0.051,0,3.199,0
TCGA-FD-A3B8-01A,0.005669,0.3236,0.03927,0,3.112,0.04793
TCGA-FD-A3NA-01A,0.07893,0,0.01883,0.3455,2.899,0.02758
TCGA-FD-A3SN-01A,0.7014,0,0.03163,0.3492,2.725,0
TCGA-FD-A3SO-01A,0.02069,0.003602,0.008092,0.1656,1.523,0
TCGA-FD-A43N-01A,0.1185,0,0.01249,1.756,1.137,0
TCGA-FD-A43P-01A,0.08237,0.09062,0.04869,0.2047,3.301,0
TCGA-FD-A43S-01A,0,0.007346,0,0.03789,2.617,0
TCGA-FD-A43U-01A,0,0,0.04993,0.3053,2.774,0
TCGA-FD-A5BS-01A,0,0.01332,0.04446,0,6.422,0.02194
TCGA-FD-A5BT-01A,0.008356,0.02159,0.2261,0,4.241,0
TCGA-FD-A5BU-01A,0.1651,0,0.01845,0.1104,2.221,0.01358
TCGA-FD-A5C1-01A,0.03594,0,0.1909,0,2.761,0
TCGA-FD-A62N-01A,0.01515,0.00395,0.4014,0,3.629,0
TCGA-FD-A6TA-01A,0.06593,0,0.05793,0.6791,0.6608,0
TCGA-FD-A6TB-01A,0.1728,0.01055,0.05456,0.1948,2.914,0
TCGA-FD-A6TD-01A,0.04275,0.01122,0.4155,0.02587,3.674,0.1969
TCGA-FD-A6TE-01A,0.03041,0,0,0.04548,1.006,0.1018
TCGA-FJ-A3Z9-01A,0.2046,0,0.03048,1.989,0.405,0
TCGA-FJ-A3ZE-01A,0.115,0.003104,0.0277,1.514,0.2029,0.0204
TCGA-FJ-A3ZF-01A,0.1626,0.02795,0.02622,2.071,0.2762,0.04591
TCGA-FT-A61P-01A,0.02976,0,0.02611,0,2.189,0
TCGA-G2-A2EF-01A,0.09587,0.002236,2.132,0,6.278,0
TCGA-G2-A2EJ-01A,0.1376,0,0.1703,0.009277,2.657,0
TCGA-G2-A2EO-01A,0,0,0.8406,0.03836,3.283,0.02444
TCGA-G2-A2ES-01A,0.05771,0.002777,0.01864,0,2.489,0.009157
TCGA-G2-A3IE-01A,0.0426,0,0.1044,0.7615,0.31,0.01056
TCGA-G2-AA3B-01A,0.02595,0.008134,0.3703,2.454,1.705,0.613
TCGA-G2-AA3F-01A,0.1103,0,0.128,0.5743,1.738,0.07877
TCGA-GC-A3I6-01A,0.01311,0,0.07494,0.01183,3.32,0
TCGA-GC-A3WC-01A,0.02147,0,0.0977,0.1246,2.2,0
TCGA-GD-A6C6-01A,0.02426,0.08629,0.0833,0.565,1.899,0
TCGA-GD-A76B-01A,0.05309,0.0186,0.02781,0.04273,2.569,0.01027
TCGA-GU-A762-01A,0.006922,0,0.413,0,5.101,0.04686
TCGA-GU-A764-01A,0.3905,0,0.03694,0.06774,3.644,0.1363
TCGA-GU-A766-01A,0.03807,0.01329,0.7048,0.08995,6.868,0
TCGA-GU-A767-01A,0.07616,0.003687,0.1195,0.5395,0.6594,0.03614
TCGA-GU-AATP-01A,0.009985,0,0.1552,0.1703,1.795,0.09964
TCGA-GV-A3JV-01A,0.02665,0,0.07947,0.389,1.158,0.02743
TCGA-GV-A3JW-01A,0.434,0.002886,0.03849,1.546,0.1895,0.5028
TCGA-GV-A3JX-01A,0.0305,0.05495,0.489,0.00924,1.94,0.5443
TCGA-GV-A3QF-01A,0.007007,0.007275,0.08755,0.8685,0.193,0.02391
TCGA-GV-A3QK-01B,0,0,0.005801,0.03547,1.523,0.02539
TCGA-GV-A40E-01A,0.07376,0.02596,0.1602,0.7058,2.106,0
TCGA-GV-A6ZA-01A,0.007455,0,0.05986,0.104,3.12,0
TCGA-HQ-A5ND-01A,0.007266,0,0.03365,0.02605,2.38,0
TCGA-K4-A3WS-01A,0.06337,0,0.1209,1.414,2.091,0
TCGA-K4-A3WV-01A,0.05745,0.01137,0.09922,1.903,0.1181,1.002
TCGA-K4-A4AB-01B,0.0578,0,0.09176,0,0.9959,0.2114
TCGA-K4-A54R-01A,0.4428,0,0.1889,0.0484,4.303,0
TCGA-K4-A5RH-01A,0,0.001944,0.8824,0.1598,2.612,0.006415
TCGA-K4-A5RI-01A,0.006744,0,0.2329,0.02419,3.077,0.01155
TCGA-K4-A5RJ-01A,0.009192,0,0.02139,0,3.233,0.03131
TCGA-K4-A83P-01A,0.0128,0.003333,0.05886,0.03438,1.673,0.02189
TCGA-K4-AAQO-01A,0.2541,0,0.01896,0.4733,0.5768,0.08176
TCGA-KQ-A41N-01A,0.007777,0,0.1138,0.014,0.1746,0.6973
TCGA-KQ-A41Q-01A,0.09674,0.007971,0.01787,0.3443,0.2379,0.2201
TCGA-KQ-A41R-01A,0.05371,0.0337,0.03786,0.05806,0.2394,1.568
TCGA-LC-A66R-01A,0.02417,0.006314,0.2599,0.06451,4.565,0.02076
TCGA-LT-A5Z6-01A,0.06606,0.0131,0,0.05973,1.946,0.04285
TCGA-PQ-A6FI-01A,0.04056,0,0.02383,0.01844,3.402,0.02623
TCGA-S5-A6DX-01A,0.08093,0.02853,0,0.8558,3.54,0.04684
